Handle,Title,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,SKU,2437 Corinth Avenue,Amazon Marketplace Web
csusb-masters-cap-and-gown,CSUSB Masters Cap and Gown,Height,"6'6""-6'8""",Fit,Full,,,UBC0171F63T00170000K01,0,not stocked
csusb-masters-cap-and-gown,CSUSB Masters Cap and Gown,Height,"6'6""-6'8""",Fit,Standard,,,UBC0171S63T00170000K01,6,not stocked
csusb-masters-cap-and-gown,CSUSB Masters Cap and Gown,Height,"6'3""-6'5""",Fit,Full,,,UBC0171F60T00170000K01,0,not stocked
csusb-masters-cap-and-gown,CSUSB Masters Cap and Gown,Height,"6'3""-6'5""",Fit,Standard,,,UBC0171S60T00170000K01,17,not stocked
csusb-masters-cap-and-gown,CSUSB Masters Cap and Gown,Height,"6'0""-6'2""",Fit,Full,,,UBC0171F57T00170000K01,3,not stocked
csusb-masters-cap-and-gown,CSUSB Masters Cap and Gown,Height,"6'0""-6'2""",Fit,Standard,,,UBC0171S57T00170000K01,53,not stocked
csusb-masters-cap-and-gown,CSUSB Masters Cap and Gown,Height,"5'9""-5'11""",Fit,Full,,,UBC0171F54T00170000K01,6,not stocked
csusb-masters-cap-and-gown,CSUSB Masters Cap and Gown,Height,"5'9""-5'11""",Fit,Standard,,,UBC0171S54T00170000K01,137,not stocked
csusb-masters-cap-and-gown,CSUSB Masters Cap and Gown,Height,"5'6""-5'8""",Fit,Full,,,UBC0171F51T00170000K01,8,not stocked
csusb-masters-cap-and-gown,CSUSB Masters Cap and Gown,Height,"5'6""-5'8""",Fit,Standard,,,UBC0171S51T00170000K01,221,not stocked
csusb-masters-cap-and-gown,CSUSB Masters Cap and Gown,Height,"5'3""-5'5""",Fit,Full,,,UBC0171F48T00170000K01,8,not stocked
csusb-masters-cap-and-gown,CSUSB Masters Cap and Gown,Height,"5'3""-5'5""",Fit,Standard,,,UBC0171S48T00170000K01,166,not stocked
csusb-masters-cap-and-gown,CSUSB Masters Cap and Gown,Height,"5'0""-5'2""",Fit,Full,,,UBC0171F45T00170000K01,5,not stocked
csusb-masters-cap-and-gown,CSUSB Masters Cap and Gown,Height,"5'0""-5'2""",Fit,Standard,,,UBC0171S45T00170000K01,96,not stocked
csusb-masters-cap-and-gown,CSUSB Masters Cap and Gown,Height,"4'9""-4'11""",Fit,Full,,,UBC0171F42T00170000K01,0,not stocked
csusb-masters-cap-and-gown,CSUSB Masters Cap and Gown,Height,"4'9""-4'11""",Fit,Standard,,,UBC0171S42T00170000K01,13,not stocked
csusb-masters-cap-and-gown,CSUSB Masters Cap and Gown,Height,"4'6""-4'8""",Fit,Full,,,UBC0171F39T00170000K01,0,not stocked
csusb-masters-cap-and-gown,CSUSB Masters Cap and Gown,Height,"4'6""-4'8""",Fit,Standard,,,UBC0171S39T00170000K01,6,not stocked
csusb-bachelors-cap-and-gown,CSUSB Bachelors Cap and Gown,Height,"6'6""-6'8""",Fit,Full,,,UBC0171F63T00170000K01,0,not stocked
csusb-bachelors-cap-and-gown,CSUSB Bachelors Cap and Gown,Height,"6'6""-6'8""",Fit,Standard,,,UBC0171S63T00170000K01,6,not stocked
csusb-bachelors-cap-and-gown,CSUSB Bachelors Cap and Gown,Height,"6'3""-6'5""",Fit,Full,,,UBC0171F60T00170000K01,0,not stocked
csusb-bachelors-cap-and-gown,CSUSB Bachelors Cap and Gown,Height,"6'3""-6'5""",Fit,Standard,,,UBC0171S60T00170000K01,17,not stocked
csusb-bachelors-cap-and-gown,CSUSB Bachelors Cap and Gown,Height,"6'0""-6'2""",Fit,Full,,,UBC0171F57T00170000K01,3,not stocked
csusb-bachelors-cap-and-gown,CSUSB Bachelors Cap and Gown,Height,"6'0""-6'2""",Fit,Standard,,,UBC0171S57T00170000K01,53,not stocked
csusb-bachelors-cap-and-gown,CSUSB Bachelors Cap and Gown,Height,"5'9""-5'11""",Fit,Full,,,UBC0171F54T00170000K01,6,not stocked
csusb-bachelors-cap-and-gown,CSUSB Bachelors Cap and Gown,Height,"5'9""-5'11""",Fit,Standard,,,UBC0171S54T00170000K01,137,not stocked
csusb-bachelors-cap-and-gown,CSUSB Bachelors Cap and Gown,Height,"5'6""-5'8""",Fit,Full,,,UBC0171F51T00170000K01,8,not stocked
csusb-bachelors-cap-and-gown,CSUSB Bachelors Cap and Gown,Height,"5'6""-5'8""",Fit,Standard,,,UBC0171S51T00170000K01,221,not stocked
csusb-bachelors-cap-and-gown,CSUSB Bachelors Cap and Gown,Height,"5'3""-5'5""",Fit,Full,,,UBC0171F48T00170000K01,8,not stocked
csusb-bachelors-cap-and-gown,CSUSB Bachelors Cap and Gown,Height,"5'3""-5'5""",Fit,Standard,,,UBC0171S48T00170000K01,166,not stocked
csusb-bachelors-cap-and-gown,CSUSB Bachelors Cap and Gown,Height,"5'0""-5'2""",Fit,Full,,,UBC0171F45T00170000K01,5,not stocked
csusb-bachelors-cap-and-gown,CSUSB Bachelors Cap and Gown,Height,"5'0""-5'2""",Fit,Standard,,,UBC0171S45T00170000K01,96,not stocked
csusb-bachelors-cap-and-gown,CSUSB Bachelors Cap and Gown,Height,"4'9""-4'11""",Fit,Full,,,UBC0171F42T00170000K01,0,not stocked
csusb-bachelors-cap-and-gown,CSUSB Bachelors Cap and Gown,Height,"4'9""-4'11""",Fit,Standard,,,UBC0171S42T00170000K01,13,not stocked
csusb-bachelors-cap-and-gown,CSUSB Bachelors Cap and Gown,Height,"4'6""-4'8""",Fit,Full,,,UBC0171F39T00170000K01,0,not stocked
csusb-bachelors-cap-and-gown,CSUSB Bachelors Cap and Gown,Height,"4'6""-4'8""",Fit,Standard,,,UBC0171S39T00170000K01,6,not stocked
graduation-photography-custom-reservation,Graduation Photography Custom Reservation,School,Cal Lutheran,Shoot Type,Large Group Shoot (6+ people),,,,0,not stocked
graduation-photography-custom-reservation,Graduation Photography Custom Reservation,School,Cal Lutheran,Shoot Type,Group Shoot (3-5 people),,,,0,not stocked
